Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,13.0,3.67295,3.53938931921208,3.030303030303033,,-17.497,-12.692,-21.564,18.555,29.275000000000002,,,,,
Argentina,ARG,ARS,28.0,9.135,3.06513409961686,6.5268065268065305,16442.2235528571,-28.552,-24.391,-32.074000000000005,2.67,11.953,-4.207000000000001,-11.849,-16.36,30.494,7.444000000000001
Australia,AUS,AUD,5.3,1.35126005,3.92226499999019,1.2354312354312342,55288.4620698113,-8.572000000000001,-3.247,-13.078999999999999,31.380000000000003,43.26,-8.587,-15.878999999999998,-20.183999999999997,24.529,2.533
Brazil,BRA,BRL,13.5,3.15235,4.28251939029613,3.1468531468531484,9422.11842,-0.174,5.639,-5.095000000000001,43.447,56.418,42.626,31.249,24.532,94.294,59.975
Canada,CAN,CAD,5.85,1.2897,4.53593859036985,1.3636363636363624,41338.143,5.733,11.891,0.521,51.93600000000001,65.67399999999999,16.338,7.058000000000001,1.5789999999999997,58.483,30.489
Switzerland,CHE,CHF,6.5,0.9528,6.82199832073888,1.5151515151515162,53981.78082,59.021,68.282,51.182,128.50900000000001,149.17100000000002,60.367000000000004,47.574,40.022000000000006,118.461,79.873
Chile,CHL,CLP,2100.0,642.45,3.26873686668223,489.5104895104892,16991.7842032714,-23.806,-19.368,-27.561999999999998,9.489,19.39,1.6650000000000003,-6.444999999999999,-11.232000000000001,38.494,14.030999999999999
China,CHN,CNY,17.0,6.2092,2.73787283385943,3.962703962703956,11853.4703682353,-36.18,-32.462999999999994,-39.326,-8.292,0.0,-10.845,-17.956,-22.155,21.453,0.0
Colombia,COL,COP,7900.0,2708.9,2.91631289453284,1841.4918414918438,9032.50047175063,-32.021,-28.061999999999998,-35.372,-2.315,6.517,-2.519,-10.295,-14.886,32.794000000000004,9.338000000000001
Costa Rica,CRI,CRC,2150.0,533.3,4.03150196887306,501.16550116550167,,-6.026,-0.553,-10.658,35.039,47.249,,,,,
Czech Republic,CZE,CZK,70.0,24.70225,2.83374996204799,16.317016317016307,25335.1177671429,-33.945,-30.098000000000003,-37.201,-5.081,3.5020000000000002,-17.851,-24.404,-28.272000000000002,11.909,-7.858
Denmark,DNK,DKK,34.59,6.81105,5.07851212368137,8.062937062937062,43664.8854197745,18.38,25.275,12.545,70.11,85.491,28.107,17.888,11.855,74.515,43.69
Egypt,EGY,EGP,16.93,7.83005,2.16218287239545,3.9463869463869448,6545.09893502658,-49.599,-46.664,-52.083999999999996,-27.576,-21.027,-25.999,-31.902,-35.387,0.8089999999999999,-16.997999999999998
Euro area,EUZ,EUR,3.7,0.912700224,4.05390499827466,0.8624708624708629,35341.8339423401,-5.503,0.0,-10.162,35.789,48.068,8.668,0.0,-5.118,48.035,21.886
Britain,GBR,GBP,2.89,0.640450877,4.51244600294302,0.673659673659674,42800.2834775086,5.185,11.311,0.0,51.149,64.816,14.530000000000001,5.394,0.0,56.019,28.46
Hong Kong,HKG,HKD,19.2,7.7508,2.47716364762347,4.475524475524474,69623.16700625,-42.257,-38.894,-45.104,-17.025000000000002,-9.522,-47.219,-51.429,-53.915,-28.098,-40.799
Hungary,HUN,HUF,900.0,282.8778,3.18158582964093,209.79020979021,15831.6395046333,-25.837,-21.518,-29.493000000000002,6.569999999999999,16.206,-0.032,-8.007,-12.715000000000002,36.181999999999995,12.127
Indonesia,IDN,IDR,30500.0,13344.5,2.28558582187418,7109.557109557109,5895.70668187672,-46.723,-43.62,-49.349,-23.442,-16.520000000000003,-21.284,-27.563,-31.269999999999996,7.231999999999999,-11.709
India,IND,INR,116.25,63.43,1.83272899259026,27.09790209790214,3519.67239587097,-57.279,-54.791000000000004,-59.385,-38.611000000000004,-33.06,-35.396,-40.549,-43.592,-11.991999999999999,-27.538
Israel,ISR,ILS,17.5,3.77835,4.63165138221711,4.079254079254083,33547.0738868571,7.964,14.252,2.642,55.142,69.17,25.856,15.815999999999999,9.889000000000001,71.44800000000001,41.164
Japan,JPN,JPY,370.0,123.935,2.98543591398717,86.24708624708622,47320.8624614595,-30.409000000000002,-26.357000000000003,-33.839999999999996,0.0,9.042,-26.593,-32.448,-35.905,0.0,-17.663999999999998
South Korea,KOR,KRW,4300.0,1143.5,3.76038478355925,1002.331002331003,30727.0333087326,-12.345,-7.24,-16.666,25.958,37.347,4.428,-3.902,-8.82,42.258,17.130000000000003
Sri Lanka,LKA,LKR,350.0,133.85,2.61486738886814,81.58508158508171,,-39.047,-35.498000000000005,-42.052,-12.413,-4.492999999999999,,,,,
Mexico,MEX,MXN,49.0,15.73975,3.1131371209835,11.421911421911433,13118.4479957143,-27.433000000000003,-23.206,-31.009999999999998,4.277,13.706,0.216,-7.7780000000000005,-12.498,36.52,12.406
Malaysia,MYS,MYR,7.65,3.8065,2.00972021542099,1.7832167832167831,20492.3626470588,-53.15299999999999,-50.425,-55.462999999999994,-32.683,-26.595999999999997,-39.348,-44.186,-47.042,-17.376,-31.97
Norway,NOR,NOK,46.0,8.14255,5.6493358960031,10.722610722610732,57184.693995,31.685999999999996,39.355000000000004,25.195,89.23,106.33999999999999,30.051,19.677,13.552,77.16300000000001,45.87
New Zealand,NZL,NZD,5.9,1.509092281,3.90963499998182,1.3752913752913754,38756.2264677966,-8.866,-3.5589999999999997,-13.358999999999998,30.957,42.798,2.175,-5.976,-10.786999999999999,39.189,14.603
Pakistan,PAK,PKR,350.0,101.7,3.44149459193707,81.5850815850816,1797.40659874286,-19.779,-15.107000000000001,-23.733,15.276,25.7,23.418,13.572999999999999,7.761,68.12700000000001,38.43
Peru,PER,PEN,10.0,3.1835,3.14119679597927,2.331002331002332,8343.424089,-26.778999999999996,-22.514,-30.387999999999998,5.2170000000000005,14.731,5.682,-2.749,-7.725999999999999,43.966,18.536
Philippines,PHL,PHP,163.0,45.2125,3.6051976776334,37.99533799533801,3500.05790226994,-15.963,-11.068999999999999,-20.105,20.76,31.679000000000002,27.108999999999998,16.969,10.983,73.155,42.57
Poland,POL,PLN,9.6,3.7736,2.5439898240407,2.2377622377622344,19988.87873125,-40.699999999999996,-37.246,-43.623,-14.787,-7.081999999999999,-22.895,-29.044999999999998,-32.676,5.038,-13.516
Russia,RUS,RUB,107.0,56.815,1.88330546510605,24.941724941724996,21689.1251613084,-56.10000000000001,-53.543,-58.264,-36.917,-31.213,-43.733,-48.222,-50.87199999999999,-23.35,-36.889
Saudi Arabia,SAU,SAR,12.0,3.75055,3.19953073549213,2.7972027972027993,36303.67455,-25.419000000000004,-21.075,-29.095,7.170999999999999,16.862,-14.85,-21.643,-25.653,15.995999999999999,-4.492999999999999
Singapore,SGP,SGD,4.7,1.3664,3.43969555035129,1.0955710955710962,66574.8515042553,-19.820999999999998,-15.151,-23.773,15.216,25.634,-25.348,-31.302999999999997,-34.819,1.695,-16.268
Sweden,SWE,SEK,43.7,8.52265,5.12751315611928,10.186480186480182,40212.3093061785,19.522000000000002,26.483,13.63,71.751,87.28099999999999,32.586,22.009999999999998,15.766,80.617,48.713
Thailand,THA,THB,108.0,34.0875,3.16831683168317,25.174825174825184,7678.94051527778,-26.146,-21.845,-29.787000000000003,6.126,15.722,7.2669999999999995,-1.2890000000000001,-6.340999999999999,46.126,20.315
Turkey,TUR,TRY,10.25,2.6457,3.8742109838606,2.3892773892773866,11069.423382439,-9.692,-4.433,-14.144000000000002,29.770000000000003,41.504000000000005,27.07,16.933999999999997,10.95,73.102,42.526
Taiwan,TWN,TWD,79.0,31.02,2.54674403610574,18.41491841491843,37675.3007191139,-40.635,-37.178,-43.562,-14.693999999999999,-6.981,-32.911,-38.262,-41.422,-8.607,-24.75
Ukraine,UKR,UAH,34.0,21.95,1.54897494305239,7.9254079254079155,,-63.893,-61.791,-65.673,-48.116,-43.424,,,,,
Uruguay,URY,UYU,113.0,27.345,4.13238251965624,26.34032634032631,,-3.6740000000000004,1.936,-8.423,38.418,50.934000000000005,,,,,
United States,USA,USD,4.29,1.0,4.29,1.0,55263.817,0.0,5.824,-4.93,43.698,56.691,0.0,-7.976999999999999,-12.686,36.226,12.164
Venezuela,VEN,VEF,132.0,197.0,0.67005076142132,30.76923076923078,,-84.381,-83.47099999999999,-85.151,-77.556,-75.527,,,,,
Vietnam,VNM,VND,60000.0,21810.0,2.75103163686382,13986.013986013968,,-35.873,-32.139,-39.035,-7.852,0.481,,,,,
South Africa,ZAF,ZAR,26.0,12.41455,2.0943167492982,6.0606060606060534,12498.42495,-51.181,-48.338,-53.588,-29.848999999999997,-23.506,-32.201,-37.608999999999995,-40.802,-7.64,-23.954
