Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,9.0,3.6725,2.45064669843431,3.4883720930232562,,-5.013999999999999,-31.606,-28.769,4.6080000000000005,93.167,,,,,
Argentina,ARG,ARS,4.75,2.897,1.6396272005523,1.8410852713178345,6893.05226526316,-36.449,-54.24,-52.342,-30.011,29.24,-5.701,-43.966,-36.825,4.952999999999999,22.325
Australia,AUS,AUD,3.25,1.3015,2.49711870918171,1.2596899224806186,35427.0921784615,-3.212,-30.309,-27.418,6.5920000000000005,96.83,2.781,-38.926,-31.142999999999997,14.393,33.327
Brazil,BRA,BRL,5.9,2.4648,2.39370334307043,2.286821705426355,4796.86106440678,-7.221,-33.195,-30.424,2.178,88.679,41.807,-15.736,-4.997,57.828,83.952
Canada,CAN,CAD,3.28,1.2494,2.62526012485993,1.271317829457363,32936.9132012195,1.754,-26.733,-23.693,12.062000000000001,106.931,10.805,-34.158,-25.767,23.323,43.736000000000004
Switzerland,CHE,CHF,6.3,1.2475,5.0501002004008,2.4418604651162785,27893.3538476191,95.74000000000001,40.941,46.788000000000004,115.56900000000002,298.063,124.733,33.539,50.558,150.122,191.522
Chile,CHL,CLP,1500.0,592.45,2.53185922862689,581.3953488372098,6483.14630576,-1.8659999999999999,-29.339,-26.407999999999998,8.075000000000001,99.568,46.45,-12.977,-1.8870000000000002,62.995000000000005,89.974
China,CHN,CNY,10.5,8.2764,1.26866753661012,4.069767441860464,3050.07968571429,-50.827,-64.593,-63.124,-45.846,0.0,-22.911,-54.19199999999999,-48.355,-14.201,0.0
Colombia,COL,COP,6500.0,2327.7,2.79245607251794,2519.3798449612436,2949.47711829231,8.235000000000001,-22.067,-18.833,19.198999999999998,120.109,69.932,0.976,13.844999999999999,89.131,120.436
Costa Rica,CRI,CRC,1130.0,475.3,2.3774458236903,437.9844961240309,,-7.851,-33.649,-30.896,1.484,87.397,,,,,
Czech Republic,CZE,CZK,56.42,24.5409,2.29901918837532,21.868217054263525,13810.94824743,-10.891,-35.838,-33.176,-1.864,81.215,20.605999999999998,-28.334,-19.200999999999997,34.231,56.449000000000005
Denmark,DNK,DKK,27.75,6.0647,4.57565914224941,10.755813953488373,25940.5004778378,77.351,27.700000000000003,32.998,95.317,260.667,107.99600000000001,23.594,39.345,131.495,169.811
Egypt,EGY,EGP,9.0,5.8,1.55172413793103,3.4883720930232456,2110.8313,-39.856,-56.694,-54.897,-33.763,22.311,-4.390000000000001,-43.187,-35.947,6.412,24.025
Euro area,EUZ,EUR,2.92,0.814929509,3.58313199823029,1.1317829457364337,23018.7639044067,38.881,0.0,4.149,52.949999999999996,182.433,68.28999999999999,0.0,12.744,87.303,118.30499999999999
Britain,GBR,GBP,1.88,0.546448087,3.44040000271792,0.7286821705426365,30277.0342021277,33.349000000000004,-3.9829999999999997,0.0,46.857,171.182,49.267,-11.304,0.0,66.131,93.628
Hong Kong,HKG,HKD,12.0,7.7807,1.54227768709756,4.6511627906976685,41652.91707,-40.222,-56.957,-55.172,-34.166000000000004,21.567,-40.228,-64.483,-59.955999999999996,-33.475,-22.464000000000002
Hungary,HUN,HUF,530.0,203.643,2.6025937547571,205.42635658914733,10157.3756193962,0.876,-27.365000000000002,-24.352,11.094,105.14399999999999,43.175000000000004,-14.924000000000001,-4.0809999999999995,59.35,85.726
Indonesia,IDN,IDR,14600.0,9545.0,1.5295966474594,5658.91472868216,2021.45367326712,-40.713,-57.311,-55.54,-34.708,20.567,-5.627,-43.923,-36.775999999999996,5.035,22.42
Japan,JPN,JPY,250.0,106.715,2.34268846928735,96.89922480620139,42771.6932544,-9.198,-34.619,-31.907000000000004,0.0,84.65700000000001,-10.151,-46.61,-39.806000000000004,0.0,16.552
South Korea,KOR,KRW,2500.0,1005.5,2.48632521133764,968.9922480620144,19497.925173072,-3.6310000000000002,-30.61,-27.732,6.131,95.979,21.646,-27.716,-18.505,35.388999999999996,57.798
Sri Lanka,LKA,LKR,175.0,99.945,1.75096302966632,67.82945736434121,,-32.133,-51.132999999999996,-49.106,-25.258000000000003,38.016,,,,,
