Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,12.0,3.673,3.26708412741628,3.1496062992125973,,-14.249999999999998,-26.262999999999998,-14.549999999999999,-21.467,33.982,,,,,
Argentina,ARG,ARS,20.0,4.3135,4.63660600440478,5.249343832021003,10060.3272885,21.695999999999998,4.646999999999999,21.269,11.452,90.146,72.737,29.183999999999997,59.641999999999996,53.89699999999999,87.78399999999999
Australia,AUS,AUD,4.8,0.972337012,4.93656000004245,1.2598425196850382,51743.46950625,29.569000000000003,11.417,29.115000000000002,18.663,102.447,27.926000000000002,-4.329000000000001,18.228,13.974,39.07
Brazil,BRA,BRL,10.25,1.805,5.6786703601108,2.6902887139107596,8482.96016780488,49.046,28.166000000000004,48.524,36.501,132.881,115.12199999999999,60.882000000000005,98.81400000000001,91.659,133.86100000000002
Canada,CAN,CAD,4.73,1.02095,4.63293990890837,1.241469816272966,41663.6540993658,21.599,4.564,21.173000000000002,11.364,89.996,29.598999999999997,-3.078,19.774,15.463,40.888000000000005
Switzerland,CHE,CHF,6.5,0.9551,6.805570097372,1.7060367454068233,47339.0360538462,78.62400000000001,53.6,77.998,63.589,179.095,82.221,36.277,68.407,62.346999999999994,98.095
Chile,CHL,CLP,2050.0,506.05,4.05098310443632,538.0577427821521,13088.4082879024,6.325,-8.57,5.953,-2.624,66.13,46.269,9.39,35.181000000000004,30.316,59.011
China,CHN,CNY,15.4,6.3155,2.43844509540021,4.041994750656175,8877.36803571429,-35.998999999999995,-44.964999999999996,-36.223,-41.386,0.0,-8.013,-31.206,-14.985999999999999,-18.046,0.0
Colombia,COL,COP,8400.0,1852.15,4.53526982155873,2204.724409448819,6301.88923906071,19.036,2.36,18.619,9.017,85.99,75.90299999999999,31.551000000000002,62.568,56.717,91.226
Costa Rica,CRI,CRC,2050.0,509.54,4.02323664481689,538.0577427821518,,5.5969999999999995,-9.196,5.226999999999999,-3.2910000000000004,64.992,,,,,
Czech Republic,CZE,CZK,70.22,20.36535,3.44801341494254,18.430446194225738,21018.3429591285,-9.501,-22.179,-9.818,-17.118,41.402,15.201999999999998,-13.844999999999999,6.468999999999999,2.637,25.237
Denmark,DNK,DKK,31.5,5.86135,5.37418854018272,8.267716535433067,40171.9713752381,41.055,21.294,40.561,29.182000000000002,120.394,52.123,13.767,40.589999999999996,35.531,65.374
Egypt,EGY,EGP,15.5,6.037,2.56750041411297,4.0682414698162725,4402.15954064516,-32.612,-42.052,-32.848,-38.284,5.293,1.694,-23.947,-6.016,-9.398,10.552
Euro area,EUZ,EUR,3.49245637,0.788239467,4.43070477464433,0.9166552152230978,32392.5777741314,16.291,0.0,15.884,6.503,81.702,33.714,0.0,23.578,19.13,45.362
Britain,GBR,GBP,2.49,0.651253663,3.82339500177214,0.6535433070866136,40198.5143373494,0.35200000000000004,-13.706999999999999,0.0,-8.094999999999999,56.796,8.203000000000001,-19.078999999999997,0.0,-3.599,17.628
Hong Kong,HKG,HKD,16.5,7.76735,2.12427661943906,4.330708661417319,62828.2540509091,-44.245000000000005,-52.056000000000004,-44.440000000000005,-48.937999999999995,-12.884,-49.074,-61.914,-52.935,-54.628,-44.638
Hungary,HUN,HUF,645.0,245.69425,2.62521406178614,169.29133858267699,16881.083072093,-31.097,-40.75,-31.338,-36.896,7.659000000000001,-8.733,-31.745,-15.652,-18.688,-0.783
Indonesia,IDN,IDR,22534.0,9160.0,2.46004366812227,5914.435695538056,5471.99251611032,-35.432,-44.477,-35.658,-40.867,0.886,-3.712,-27.99,-11.012,-14.213999999999999,4.675
India,IND,INR,84.0,51.905,1.61834120026972,22.04724409448814,3150.82926928571,-57.524,-63.474,-57.672999999999995,-61.099000000000004,-33.632,-34.993,-51.383,-39.921,-42.083,-29.330000000000002
Israel,ISR,ILS,15.9,3.8485,4.13147979732363,4.17322834645669,29534.0172566038,8.437999999999999,-6.753000000000001,8.058,-0.69,69.431,27.791,-4.43,18.102999999999998,13.852999999999998,38.923
Japan,JPN,JPY,320.0,76.92,4.16016640665627,83.98950131233603,46332.7352370938,9.191,-6.106,8.808,0.0,70.607,12.242,-16.058,3.733,0.0,22.02
South Korea,KOR,KRW,3700.0,1158.75,3.19309600862999,971.1286089238848,28640.8934371946,-16.192,-27.933000000000003,-16.485,-23.246,30.947999999999997,-0.459,-25.557000000000002,-8.004999999999999,-11.315999999999999,8.212
Sri Lanka,LKA,LKR,290.0,113.93,2.54542262792943,76.11548556430446,,-33.190999999999995,-42.55,-33.425,-38.814,4.387,,,,,
Mexico,MEX,MXN,37.0,13.6844,2.70380871649469,9.711286089238829,13501.8281610811,-29.034,-38.976,-29.282999999999998,-35.007,10.882,-2.782,-27.294,-10.152,-13.386000000000001,5.686999999999999
Malaysia,MYS,MYR,7.35,3.13955,2.34109983914892,1.9291338582677142,16493.2391102041,-38.554,-47.162,-38.769,-43.726,-3.9919999999999995,-18.3,-38.9,-24.494,-27.211000000000002,-11.183
Norway,NOR,NOK,41.0,6.0399,6.78819185748108,10.761154855643039,52506.7906353659,78.168,53.208,77.544,63.171,178.382,74.935,30.826999999999998,61.673,55.855,90.173
New Zealand,NZL,NZD,5.1,1.26000126,4.04761500000405,1.3385826771653548,35939.4857117647,6.237,-8.645999999999999,5.864,-2.705,65.99199999999999,18.576,-11.321,9.587,5.643,28.904999999999998
Pakistan,PAK,PKR,260.0,90.05,2.88728484175458,68.24146981627295,1632.33488815385,-24.218,-34.835,-24.484,-30.597,18.407,18.008,-11.745999999999999,9.062000000000001,5.137,28.288000000000004
Peru,PER,PEN,10.0,2.6925,3.71402042711235,2.624671916010499,6205.122591,-2.519,-16.175,-2.861,-10.724,52.31099999999999,44.202999999999996,7.843999999999999,33.271,28.475,56.765
Philippines,PHL,PHP,118.0,44.005,2.68151346437905,30.971128608923912,3458.84079177966,-29.619,-39.479,-29.866,-35.543,9.968,7.340000000000001,-19.725,-0.7979999999999999,-4.367999999999999,16.689999999999998
Poland,POL,PLN,9.1,3.52045,2.58489681716826,2.388451443569554,17089.698478022,-32.155,-41.659,-32.393,-37.866,6.006,-10.318,-32.93,-17.116999999999997,-20.1,-2.506
Russia,RUS,RUB,81.0,31.7693,2.54963124777694,21.259842519685023,19778.711982963,-33.080999999999996,-42.455,-33.315,-38.712999999999994,4.5600000000000005,-13.808000000000002,-35.54,-20.342,-23.209,-6.3
Saudi Arabia,SAU,SAR,10.0,3.7502,2.66652445202923,2.624671916010503,38528.123223,-30.012,-39.817,-30.258000000000003,-35.903,9.353,-23.518,-42.802,-29.316,-31.86,-16.855999999999998
Singapore,SGP,SGD,4.85,1.2928,3.75154702970297,1.2729658792650917,53248.3879608247,-1.534,-15.328,-1.879,-9.822000000000001,53.849999999999994,-3.839,-28.084999999999997,-11.129,-14.327000000000002,4.537999999999999
Sweden,SWE,SEK,41.0,6.9338,5.91306354379994,10.761154855643053,36531.4445590244,55.199,33.457,54.655,42.135,142.493,72.382,28.918,59.314,53.581,87.399
Thailand,THA,THB,78.0,31.75,2.45669291338583,20.472440944881917,8179.97821807692,-35.52,-44.553,-35.746,-40.947,0.748,-6.632000000000001,-30.174,-13.711,-16.816,1.5010000000000001
Turkey,TUR,TRY,6.6,1.86295,3.54276819023592,1.7322834645669312,10853.6266636364,-7.013999999999999,-20.041,-7.340000000000001,-14.841,45.288000000000004,30.896,-2.108,20.973,16.619,42.298
Taiwan,TWN,TWD,75.0,29.9795,2.50170950149269,19.685039370078766,31195.8043596,-34.338,-43.537,-34.568,-39.865,2.5940000000000003,-23.724999999999998,-42.956,-29.507,-32.044,-17.080000000000002
Ukraine,UKR,UAH,17.0,8.0405,2.11429637460357,4.461942257217848,,-44.507000000000005,-52.281,-44.701,-49.178,-13.293,,,,,
Uruguay,URY,UYU,90.0,19.45,4.62724935732648,23.6220472440945,,21.45,4.436,21.025,11.228,89.762,,,,,
United States,USA,USD,3.81,1.0,3.81,1.0,50008.108,0.0,-14.008999999999999,-0.35000000000000003,-8.417,56.247,0.0,-25.214,-7.581,-10.907,8.711
Venezuela,VEN,VEF,30.0,4.29465,6.98543536725927,7.874015748031502,,83.345,57.66,82.702,67.91199999999999,186.471,,,,,
South Africa,ZAF,ZAR,19.95,8.1304,2.45375381285054,5.236220472440953,12188.8186977444,-35.597,-44.619,-35.823,-41.018,0.628,-10.583,-33.129,-17.362,-20.336000000000002,-2.794
