Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18.0,3.67305,4.9005594805407,3.2258064516129066,59912.39087,-12.176,-15.818999999999999,-9.099,54.727000000000004,40.03,-7.689,-20.381,-11.97,52.684,23.093
Argentina,ARG,ARS,1650.0,275.275,5.99400599400599,295.6989247311826,6029.76220363636,7.4190000000000005,2.964,11.184,89.251,71.274,34.309,15.842999999999998,28.078999999999997,122.148,79.095
Australia,AUS,AUD,7.45,1.48400979446464,5.02018250000001,1.3351254480286736,70673.8008322148,-10.033,-13.764000000000001,-6.88,58.504,43.448,-8.352,-20.953,-12.603,51.587,22.209
Azerbaijan,AZE,AZN,5.95,1.7025,3.49486049926579,1.0663082437276,12471.441610084,-37.368,-39.966,-35.173,10.344000000000001,-0.13699999999999998,-23.425,-33.953,-26.977,26.656000000000002,2.109
Bahrain,BHR,BHD,1.7,0.37695,4.50988194720785,0.3046594982078851,35521.5907058824,-19.178,-22.53,-16.345000000000002,42.392,28.866000000000003,-8.444,-21.032,-12.690999999999999,51.434000000000005,22.086
Brazil,BRA,BRL,22.9,4.75705,4.81390777898067,4.1039426523297475,12095.2691606987,-13.729,-17.307,-10.706,51.991,37.554,5.6129999999999995,-8.908000000000001,0.714,74.685,40.83
Canada,CAN,CAD,7.05,1.31625,5.35612535612536,1.2634408602150544,57290.5573021277,-4.0120000000000005,-7.993,-0.6479999999999999,69.111,53.047,1.6809999999999998,-12.299,-3.0349999999999997,68.182,35.587
Switzerland,CHE,CHF,6.7,0.86685,7.72913422160697,1.2007168458781365,74493.6329552239,38.515,32.769999999999996,43.369,144.035,120.854,39.574,20.385,33.101,130.858,86.117
Chile,CHL,CLP,3900.0,839.505,4.64559472546322,698.9247311827958,19038.089706,-16.746,-20.199,-13.828,46.677,32.744,-0.45999999999999996,-14.146,-5.077,64.64,32.732
China,CHN,CNY,25.0,7.14355,3.49966053292831,4.48028673835126,19011.2644512,-37.282,-39.883,-35.083999999999996,10.496,0.0,-25.007,-35.318,-28.485,24.038999999999998,0.0
Colombia,COL,COP,18900.0,3882.915,4.86747714024129,3387.0967741935497,8408.11311592381,-12.769,-16.387,-9.712,53.681999999999995,39.084,8.161,-6.710000000000001,3.145,78.9,44.229
Costa Rica,CRI,CRC,2950.0,544.875,5.4140857994953,528.6738351254484,16208.5480946237,-2.973,-6.998,0.42700000000000005,70.941,54.703,17.121,1.018,11.688,93.719,56.176
Czech Republic,CZE,CZK,105.0,21.6516,4.84952613201796,18.81720430107528,33310.1726468571,-13.091,-16.695999999999998,-10.045,53.116,38.571,-0.8500000000000001,-14.482000000000001,-5.449,63.995000000000005,32.212
Denmark,DNK,DKK,38.2,6.7593,5.65147278564349,6.8458781362007235,70423.6338141361,1.281,-2.92,4.83,78.43599999999999,61.486,3.247,-10.947999999999999,-1.542,70.772,37.675
Egypt,EGY,EGP,81.0,30.925,2.61924009700889,14.51612903225805,5214.87559333333,-53.059999999999995,-55.007,-51.415,-17.302,-25.157,-41.142,-49.234,-43.872,-2.6470000000000002,-21.515
Euro area,EUZ,EUR,5.28,0.90699,5.82145337875831,0.9462365591397848,41587.8892102108,4.327,0.0,7.983,83.80300000000001,66.34299999999999,15.939999999999998,0.0,10.563,91.767,54.602
Britain,GBR,GBP,4.19,0.77721,5.39107834433422,0.75089605734767,49229.2370405728,-3.386,-7.393,0.0,70.214,54.04600000000001,4.864,-9.554,0.0,73.446,39.832
Guatemala,GTM,GTQ,29.0,7.8689,3.68539440074216,5.197132616487452,7599.78336413793,-33.954,-36.693,-31.639,16.36,5.3069999999999995,-17.874000000000002,-29.165999999999997,-21.684,35.837,9.511
Hong Kong,HKG,HKD,23.0,7.7987,2.94920948363189,4.121863799283158,91201.4676626087,-47.147,-49.339,-45.295,-6.8839999999999995,-15.729000000000001,-49.151,-56.142,-51.50900000000001,-15.895000000000001,-32.195
Honduras,HND,HNL,102.0,24.62,4.1429731925264,18.279569892473113,4127.16149470588,-25.752999999999997,-28.833,-23.151,30.807000000000002,18.382,-6.542000000000001,-19.392,-10.877,54.58,24.622
Hungary,HUN,HUF,1400.0,351.0725,3.98778030178952,250.89605734767045,27181.0119461143,-28.534,-31.499,-26.029999999999998,25.907999999999998,13.947999999999999,-16.833000000000002,-28.266999999999996,-20.69,37.559,10.9
Indonesia,IDN,IDR,38000.0,15080.0,2.51989389920424,6810.035842293896,10464.8394722684,-54.840999999999994,-56.714,-53.258,-20.439,-27.996,-44.403999999999996,-52.048,-46.982,-8.043,-25.865
India,IND,INR,209.0,82.2488,2.54107050801957,37.45519713261649,5077.12807722488,-54.461000000000006,-56.35,-52.864999999999995,-19.77,-27.391,-42.870000000000005,-50.724999999999994,-45.519999999999996,-5.507,-23.82
Israel,ISR,ILS,17.0,3.66365,4.6401812400202,3.0465949820788545,60615.0443647059,-16.843,-20.291999999999998,-13.929,46.506,32.589,-12.775,-24.767,-16.82,44.272,16.311
Jordan,JOR,JOD,2.5,0.70895,3.52634177304464,0.44802867383512496,6831.730152,-36.803999999999995,-39.425,-34.589,11.338,0.762,-21.207,-32.04,-24.862000000000002,30.325000000000003,5.067
Japan,JPN,JPY,450.0,142.08,3.16722972972973,80.64516129032259,55447.209336,-43.24,-45.594,-41.251,0.0,-9.499,-39.541,-47.853,-42.345,0.0,-19.38
South Korea,KOR,KRW,5200.0,1274.65,4.07955124936257,931.899641577061,44893.2524528077,-26.889999999999997,-29.921999999999997,-24.328,28.804999999999996,16.57,-19.582,-30.639,-23.311999999999998,33.012,7.2330000000000005
Kuwait,KWT,KWD,1.4,0.3071,4.55877564311299,0.2508960573476701,45916.7079857143,-18.302,-21.69,-15.439,43.936,30.263,-10.419,-22.736,-14.574000000000002,48.167,19.451999999999998
Lebanon,LBN,LBP,430000.0,85500.0,5.02923976608187,77060.93189964157,,-9.87,-13.608999999999998,-6.712,58.79,43.707,,,,,
Sri Lanka,LKA,LKR,1820.0,327.5,5.55725190839695,326.1648745519715,3305.80379472528,-0.40800000000000003,-4.537999999999999,3.082,75.461,58.794000000000004,25.727,8.441,19.895,107.954,67.652
Moldova,MDA,MDL,63.0,17.665,3.56637418624399,11.290322580645176,9605.26895714286,-36.086,-38.737,-33.847,12.601999999999999,1.9060000000000001,-21.08,-31.930999999999997,-24.741,30.534,5.236
Mexico,MEX,MXN,89.0,16.7025,5.32854363119294,15.94982078853048,14208.8701813483,-4.506,-8.466999999999999,-1.16,68.24,52.259,16.058,0.10200000000000001,10.674999999999999,91.962,54.759
Malaysia,MYS,MYR,13.15,4.509,2.91638944333555,2.3566308243727594,23279.8966357414,-47.735,-49.903,-45.903,-7.920000000000001,-16.667,-38.39,-46.861000000000004,-41.248000000000005,1.9029999999999998,-17.846
Nicaragua,NIC,NIO,159.0,36.55,4.35020519835841,28.49462365591395,2986.06860113208,-22.039,-25.273,-19.307,37.35,24.304000000000002,-1.469,-15.015999999999998,-6.039,62.971,31.385999999999996
Norway,NOR,NOK,70.0,10.1165,6.9193891167894,12.544802867383508,83105.8306791429,24.003,18.86,28.349000000000004,118.46799999999999,97.71600000000001,21.974,5.204000000000001,16.317,101.74700000000001,62.647
New Zealand,NZL,NZD,8.1,1.60681288663935,5.041035,1.4516129032258058,51221.0726666667,-9.658999999999999,-13.406,-6.493,59.162000000000006,44.044,-2.538,-15.937999999999999,-7.058000000000001,61.204,29.962
Oman,OMN,OMR,1.42,0.38505,3.68783274899364,0.2544802867383515,35426.2922112676,-33.910000000000004,-36.651,-31.594,16.436999999999998,5.377,-25.11,-35.407,-28.584,23.869,-0.13799999999999998
Pakistan,PAK,PKR,985.0,286.25,3.4410480349345,176.52329749103956,1662.8530577665,-38.332,-40.89,-36.171,8.645,-1.675,-21.693,-32.458999999999996,-25.324999999999996,29.520999999999997,4.419
Peru,PER,PEN,14.9,3.60375,4.13458203260493,2.6702508960573508,10534.437809396,-25.904,-28.977000000000004,-23.307,30.543,18.142,-8.801,-21.34,-13.031,50.845,21.61
Philippines,PHL,PHP,155.0,54.925,2.82203004096495,27.777777777777754,7106.592636,-49.425999999999995,-51.524,-47.654,-10.899000000000001,-19.363,-37.004999999999995,-45.666000000000004,-39.927,4.195,-15.998999999999999
Poland,POL,PLN,19.9,3.9946,4.98172532919441,3.566308243727597,22842.8869386935,-10.722,-14.424999999999999,-7.593,57.29,42.349,5.393,-9.097,0.505,74.322,40.537
Qatar,QAT,QAR,14.0,3.64,3.84615384615385,2.508960573476705,116894.70855,-31.073,-33.931,-28.657,21.436,9.901,-37.998,-46.522999999999996,-40.874,2.552,-17.323
Romania,ROU,RON,14.5,4.4761,3.23942717991108,2.5985663082437247,28490.2200744828,-41.946,-44.354,-39.911,2.2800000000000002,-7.436,-32.729,-41.978,-35.849,11.268,-10.296
Saudi Arabia,SAU,SAR,19.0,3.7516,5.06450581085404,3.4050179211469564,37944.9679831579,-9.238,-13.003,-6.058,59.90299999999999,44.714,2.027,-12.0,-2.705,68.754,36.049
Singapore,SGP,SGD,6.45,1.3278,4.85765928603705,1.1559139784946229,105469.555925581,-12.945,-16.556,-9.894,53.372,38.804,-19.36,-30.447000000000003,-23.101,33.379,7.529
Sweden,SWE,SEK,60.27,10.5075,5.73590292648109,10.801075268817215,52546.0630423096,2.794,-1.47,6.396,81.10199999999999,63.898999999999994,10.452,-4.734,5.329,82.69,47.284
Thailand,THA,THB,128.0,34.22875,3.73954643391886,22.939068100358455,10810.3927289063,-32.983000000000004,-35.763,-30.635,18.07,6.855,-17.593,-28.923,-21.415,36.302,9.886000000000001
Turkey,TUR,TRY,95.0,26.92675,3.52809009627972,17.025089605734756,10339.4033204211,-36.773,-39.395,-34.557,11.394,0.812,-22.126,-32.833,-25.738,28.804999999999996,3.842
Taiwan,TWN,TWD,75.0,31.4265,2.38652092978855,13.44086021505374,72314.7500568,-57.231,-59.004999999999995,-55.732000000000006,-24.65,-31.807000000000002,-56.635999999999996,-62.598,-58.647000000000006,-28.275,-42.176
Ukraine,UKR,UAH,105.0,36.93145,2.84310526664943,18.817204301075282,7875.52096628572,-49.048,-51.162,-47.263,-10.234,-18.761,-36.705,-45.407,-39.641,4.691,-15.598999999999998
Uruguay,URY,UYU,259.0,37.765,6.85820203892493,46.415770609319,17505.6952482625,22.907,17.809,27.214,116.536,95.968,47.71,27.401999999999997,40.859,144.315,96.965
United States,USA,USD,5.58,1.0,5.58,1.0,77191.871,0.0,-4.148000000000001,3.504,76.179,59.443999999999996,0.0,-13.749,-4.638,65.401,33.346
Vietnam,VNM,VND,74000.0,23687.5,3.12401055408971,13261.648745519713,7239.23314364919,-44.013999999999996,-46.336,-42.052,-1.365,-10.734,-30.296,-39.879999999999995,-33.528999999999996,15.290999999999999,-7.053
South Africa,ZAF,ZAR,49.9,17.78375,2.80593238209039,8.9426523297491,12230.6883871744,-49.714000000000006,-51.800000000000004,-47.952,-11.407,-19.823,-38.468999999999994,-46.929,-41.323,1.773,-17.951
