Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,12.0,3.67305,3.2670396536938,2.977667493796529,,-18.932,-33.025,-23.096,-7.027,27.014,,,,,
Argentina,ARG,ARS,19.0,4.9765,3.81794433839044,4.714640198511171,13406.9386715789,-5.2620000000000005,-21.732000000000003,-10.128,8.649999999999999,48.431999999999995,26.346999999999998,-8.165,10.911999999999999,42.705,44.016
Australia,AUS,AUD,4.7,0.959094615,4.90045499838408,1.166253101736974,56693.1534,21.599,0.45999999999999996,15.354000000000001,39.456,90.517,17.788999999999998,-14.386,3.399,33.038000000000004,34.261
Brazil,BRA,BRL,11.25,1.99335,5.64376552035518,2.7915632754342425,8947.55931911111,40.044000000000004,15.698,32.851,60.609,119.415,94.312,41.234,70.574,119.46799999999999,121.485
Canada,CAN,CAD,5.41,1.0029,5.39435636653704,1.3424317617865995,39265.7209852126,33.855000000000004,10.585,26.979999999999997,53.512,109.71900000000001,45.716,5.913,27.915,64.581,66.093
Switzerland,CHE,CHF,6.5,0.9123,7.12484928203442,1.612903225806452,50162.6841,76.795,46.06,67.715,102.758,176.996,78.63,29.837000000000003,56.808,101.757,103.61
Chile,CHL,CLP,2050.0,471.75,4.34552199258082,508.6848635235736,14647.7945331171,7.829,-10.915999999999999,2.291,23.663999999999998,68.943,42.27,3.408,24.889,60.687999999999995,62.165000000000006
China,CHN,CNY,16.0,6.2204,2.57218185325703,3.9702233250620416,9988.86681,-36.174,-47.27,-39.452,-26.801000000000002,0.0,-12.269,-36.233,-22.986,-0.91,0.0
Colombia,COL,COP,8600.0,1773.175,4.85005710096296,2133.9950372208427,6940.37573971512,20.349,-0.573,14.168,38.022,88.558,70.07600000000001,23.619,49.299,92.095,93.86
Costa Rica,CRI,CRC,2200.0,500.83,4.39270810454645,545.9057071960294,,9.0,-9.949,3.402,25.007,70.77799999999999,,,,,
Czech Republic,CZE,CZK,70.33,18.89495,3.72215856617774,17.45161290322583,22302.7152365989,-7.639,-23.695,-12.382,5.924,44.708,14.325,-16.904,0.358,29.126,30.312
Denmark,DNK,DKK,28.5,5.49795,5.18375030693258,7.0719602977667435,48017.0529389474,28.628999999999998,6.267,22.023,47.518,101.53099999999999,31.830000000000002,-4.18,15.725,48.897,50.265
Egypt,EGY,EGP,16.0,6.68575,2.39314960924354,3.970223325062033,5401.1158175,-40.617,-50.94,-43.667,-31.896,-6.959999999999999,-14.871,-38.124,-25.271,-3.85,-2.9659999999999997
Euro area,EUZ,EUR,3.594849572,0.736946829,4.87803112862027,0.8920222263027292,33319.8913120398,21.043,0.0,14.826,38.818000000000005,89.646,37.580999999999996,0.0,20.773,55.393,56.821
Britain,GBR,GBP,2.69,0.633211968,4.24818249802884,0.6674937965260541,40301.1880260223,5.414,-12.912,0.0,20.894,65.159,13.916999999999998,-17.2,0.0,28.665000000000003,29.847
Hong Kong,HKG,HKD,17.0,7.7591,2.19097575749765,4.218362282878415,67341.0695788235,-45.633,-55.084999999999994,-48.426,-37.65,-14.82,-50.659,-64.137,-56.686,-44.271,-43.759
Hungary,HUN,HUF,830.0,217.46935,3.81662979173847,205.95533498759315,14175.4803641084,-5.295,-21.759,-10.159,8.613,48.381,25.464,-8.807,10.137,41.707,43.01
Indonesia,IDN,IDR,27939.0,9767.5,2.86040440235475,6932.7543424317655,5063.67507386485,-29.022,-41.361,-32.668,-18.599,11.205,2.072,-25.808999999999997,-10.397,15.287,16.346
India,IND,INR,89.0,53.395,1.66682273621126,22.084367245657624,3532.97942078652,-58.64,-65.83,-60.763999999999996,-52.566,-35.198,-39.653,-56.137,-47.025,-31.840000000000003,-31.214
Israel,ISR,ILS,14.9,3.72455,4.00048327985931,3.6972704714640177,34677.3691536913,-0.732,-17.990000000000002,-5.831,13.844999999999999,55.528999999999996,11.706,-18.807,-1.941,26.167,27.327
Japan,JPN,JPY,320.0,91.065,3.51397353538681,79.40446650124065,49414.076976875,-12.805,-27.962999999999997,-17.283,0.0,36.614999999999995,-11.462,-35.647,-22.279,0.0,0.919
South Korea,KOR,KRW,3700.0,1085.475,3.40864598447684,918.1141439205949,31246.1803262243,-15.418000000000001,-30.123,-19.762,-2.997,32.519999999999996,-2.36,-29.031000000000002,-14.288,10.281,11.294
Sri Lanka,LKA,LKR,350.0,126.45,2.76789244760775,86.848635235732,,-31.318,-43.258,-34.845,-21.232,7.609000000000001,,,,,
Mexico,MEX,MXN,37.0,12.7384,2.90460340388118,9.18114143920596,15249.2502078378,-27.925,-40.455000000000005,-31.627,-17.341,12.924,-5.395,-31.237,-16.953,6.853,7.835
Malaysia,MYS,MYR,7.95,3.083,2.57865715212455,1.9727047146401955,16921.0200352201,-36.013,-47.137,-39.300000000000004,-26.617,0.252,-17.197000000000003,-39.815,-27.313,-6.476999999999999,-5.618
Norway,NOR,NOK,43.0,5.4831,7.84227900275392,10.669975186104223,55492.2014974419,94.597,60.767,84.603,123.174,204.888,89.942,38.058,66.737,114.53199999999998,116.503
New Zealand,NZL,NZD,5.2,1.202428906,4.32458000140592,1.2903225806451608,37941.9137,7.31,-11.346,1.798,23.067999999999998,68.12899999999999,17.928,-14.285,3.521,33.195,34.419
Pakistan,PAK,PKR,290.0,97.665,2.96933394767829,71.96029776674942,1710.62930282759,-26.319,-39.128,-30.103,-15.498999999999999,15.440000000000001,9.403,-20.480999999999998,-3.962,23.566000000000003,24.701999999999998
Peru,PER,PEN,10.0,2.5595,3.90701308849385,2.481389578163774,7048.921763,-3.052,-19.906,-8.031,11.185,51.895,36.870000000000005,-0.517,20.149,54.589,56.010000000000005
Philippines,PHL,PHP,118.0,40.6,2.9064039408867,29.28039702233251,3924.64657881356,-27.881,-40.419,-31.585,-17.29,12.994,4.835,-23.801,-7.9719999999999995,18.407,19.495
Poland,POL,PLN,9.1,3.092,2.94307891332471,2.258064516129033,18763.5759285714,-26.971,-39.667,-30.720999999999997,-16.246,14.42,-6.944,-32.363,-18.312,5.104,6.069
Russia,RUS,RUB,72.88,30.045,2.42569479114661,18.084367245657543,26297.616805708,-39.809,-50.273,-42.9,-30.97,-5.695,-27.825,-47.54,-36.642,-18.481,-17.732
Saudi Arabia,SAU,SAR,11.0,3.7502,2.93317689723215,2.729528535980151,38947.1015227273,-27.216,-39.87,-30.955,-16.528000000000002,14.035,-20.587,-42.278999999999996,-30.288999999999998,-10.306,-9.482
Singapore,SGP,SGD,4.5,1.23485,3.64416730777017,1.1166253101736958,62166.2847577778,-9.574,-25.294,-14.218,3.705,41.676,-15.337,-38.463,-25.679999999999996,-4.377000000000001,-3.4979999999999998
Sweden,SWE,SEK,40.55930138,6.3492,6.38809635544636,10.064342774193555,38920.0247635035,58.513999999999996,30.956,50.37199999999999,81.791,148.353,72.98400000000001,25.733,51.852,95.38,97.175
Thailand,THA,THB,87.0,29.755,2.92387833977483,21.588089330024825,8438.21966896552,-27.447,-40.06,-31.173000000000002,-16.793,13.672999999999998,1.134,-26.491,-11.221,14.227,15.277
Turkey,TUR,TRY,8.45,1.76875,4.7773851590106,2.096774193548387,9973.20983076923,18.546000000000003,-2.0629999999999997,12.457,35.954,85.733,62.968999999999994,18.453,43.059999999999995,84.068,85.759
Taiwan,TWN,TWD,75.0,29.502,2.54220052877771,18.610421836228287,33826.1820468,-36.918,-47.885,-40.158,-27.655,-1.166,-28.567999999999998,-48.08,-37.294,-19.32,-18.578
Ukraine,UKR,UAH,19.0,8.144,2.33300589390963,4.714640198511172,,-42.109,-52.173,-45.082,-33.608,-9.299,,,,,
Uruguay,URY,UYU,105.0,19.28,5.44605809128631,26.054590570719615,,35.138000000000005,11.645,28.197,54.983000000000004,111.72899999999998,,,,,
United States,USA,USD,4.03,1.0,4.03,1.0,51736.738,0.0,-17.385,-5.136,14.685,56.676,0.0,-27.316000000000003,-12.216000000000001,12.946,13.984
Venezuela,VEN,VEF,39.0,4.29465,9.08106597743704,9.677419354838706,,125.337,86.163,113.764,158.42700000000002,253.04899999999998,,,,,
South Africa,ZAF,ZAR,20.9,9.047,2.31015806344645,5.186104218362291,12992.2716866029,-42.675999999999995,-52.642,-45.62,-34.258,-10.187,-23.273,-44.230999999999995,-32.646,-13.34,-12.543000000000001
