Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,13.0,3.6731,3.53924477961395,2.8888888888888884,,-21.349999999999998,-15.845,-10.177,2.088,27.07,,,,,
Argentina,ARG,ARS,50.0,14.935,3.3478406427854,11.1111111111111,12424.79835,-25.604,-20.396,-15.034,-3.433,20.198,2.406,-3.975,7.836,28.461,19.874
Australia,AUS,AUD,5.75,1.335737661,4.30473750039754,1.277777777777777,53523.1142608696,-4.3389999999999995,2.357,9.251,24.168,54.554,-2.25,-8.341,2.933,22.62,14.423
Brazil,BRA,BRL,15.5,3.24145,4.78181060944948,3.444444444444448,8880.30522580645,6.262,13.700000000000001,21.359,37.929,71.682,50.783,41.387,58.778,89.146,76.50200000000001
Canada,CAN,CAD,6.0,1.303,4.60475825019187,1.3333333333333348,41843.571,2.328,9.49,16.865,32.822,65.326,12.824,5.793,18.806,41.528999999999996,32.068000000000005
Switzerland,CHE,CHF,6.5,0.9861,6.59162356758949,1.4444444444444438,56120.5052307692,46.481,56.733,67.291,90.133,136.661,47.281,38.102999999999994,55.091,84.753,72.40299999999999
Chile,CHL,CLP,2300.0,651.12,3.53237498464185,511.1111111111114,17269.0364054348,-21.503,-16.008,-10.351,1.8900000000000001,26.823999999999998,3.804,-2.664,9.309000000000001,30.214999999999996,21.51
China,CHN,CNY,18.6,6.678,2.78526504941599,4.133333333333329,12104.8843548387,-38.105,-33.772999999999996,-29.311999999999998,-19.66,0.0,-14.571000000000002,-19.895,-10.041,7.164,0.0
Colombia,COL,COP,8900.0,2929.0,3.03857972004097,1977.7777777777778,8784.97067882022,-32.476,-27.750000000000004,-22.883,-12.353,9.095,-4.106,-10.082,0.979,20.291999999999998,12.25
Costa Rica,CRI,CRC,2250.0,546.39,4.11793773678142,500.0,,-8.49,-2.085,4.51,18.78,47.847,,,,,
Czech Republic,CZE,CZK,75.0,24.54655,3.05541919332859,16.666666666666643,26334.73506,-32.102000000000004,-27.349,-22.456,-11.867999999999999,9.699,-16.363,-21.575,-11.927999999999999,4.916,-2.097
Denmark,DNK,DKK,30.0,6.75715,4.43974160703847,6.666666666666666,53969.74935,-1.3390000000000002,5.567,12.677,28.063,59.401,0.534,-5.731,5.865,26.112000000000002,17.682000000000002
Egypt,EGY,EGP,23.0,8.87995,2.5901046740128,5.111111111111103,5664.46010869565,-42.442,-38.413000000000004,-34.265,-25.289,-7.007,-15.975,-21.211,-11.519,5.4030000000000005,-1.643
Euro area,EUZ,EUR,3.82,0.908306463,4.20562899815015,0.848888888888888,36851.4527724655,-6.542000000000001,0.0,6.736000000000001,21.310000000000002,50.995999999999995,6.646000000000001,0.0,12.301,33.778999999999996,24.836
Britain,GBR,GBP,2.99,0.758840492,3.94022199859098,0.664444444444445,44298.737458194,-12.44,-6.311,0.0,13.654,41.467,-5.035,-10.953,0.0,19.126,11.161999999999999
