Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,13.0,3.67305,3.53929295816828,3.0303030303030303,,-17.499000000000002,-16.993,-18.977,12.65,27.816000000000003,,,,,
Argentina,ARG,ARS,28.0,8.61,3.2520325203252,6.52680652680652,16442.2235528571,-24.195,-23.73,-25.552999999999997,3.5069999999999997,17.442,2.2089999999999996,-10.665,-7.947,32.184000000000005,12.461
Australia,AUS,AUD,5.3,1.227219734,4.31870499892076,1.2354312354312367,55288.4620698113,0.6689999999999999,1.287,-1.134,37.457,55.962999999999994,0.653,-12.026,-9.347999999999999,30.171,10.749
Brazil,BRA,BRL,13.5,2.59275,5.20682672837721,3.1468531468531493,9422.11842,21.371000000000002,22.116,19.197,65.725,88.036,74.648,52.649,57.294,125.86599999999999,92.166
Canada,CAN,CAD,5.7,1.22855,4.63961580725245,1.328671328671328,42425.9888684211,8.15,8.813,6.213,47.671,67.552,18.252,3.357,6.502,52.931,30.113
Switzerland,CHE,CHF,6.5,0.86165,7.54366622178379,1.515151515151516,53981.78082,75.843,76.922,72.694,140.103,172.427,77.35600000000001,55.016,59.733999999999995,129.369,95.146
Chile,CHL,CLP,2100.0,627.485,3.34669354645928,489.51048951048983,16991.7842032714,-21.988,-21.51,-23.386000000000003,6.52,20.86,4.668,-8.516,-5.732,35.364000000000004,15.167
China,CHN,CNY,17.2,6.2115,2.76905739354423,4.009324009324006,11715.6393174419,-35.453,-35.057,-36.609,-11.865,0.0,-9.116,-20.564,-18.147,17.537,0.0
Colombia,COL,COP,7900.0,2364.98,3.34040879838307,1841.4918414918398,9032.50047175063,-22.134999999999998,-21.657,-23.53,6.32,20.633000000000003,12.464,-1.702,1.2890000000000001,45.445,23.744
Costa Rica,CRI,CRC,2150.0,536.09,4.01052062153743,501.1655011655014,,-6.515,-5.941,-8.189,27.648,44.833,,,,,
Czech Republic,CZE,CZK,70.45,24.13325,2.91920897516911,16.421911421911407,25173.2894776437,-31.953,-31.535999999999998,-33.172000000000004,-7.086,5.422,-14.915999999999999,-25.634,-23.371,10.036000000000001,-6.382000000000001
Denmark,DNK,DKK,34.5,6.4174,5.37600897559759,8.041958041958035,43778.7938165218,25.314999999999998,26.084000000000003,23.071,71.11,94.146,35.685,18.594,22.203,75.477,49.295
Egypt,EGY,EGP,16.93,7.35005,2.3033856912538,3.9463869463869448,6545.09893502658,-46.308,-45.979,-47.27,-26.687,-16.817,-20.551,-30.558000000000003,-28.444999999999997,2.749,-12.581999999999999
Euro area,EUZ,EUR,3.68,0.863073404,4.26383200194175,0.857808857808858,35533.9091268094,-0.61,0.0,-2.39,35.711,53.981,14.411,0.0,3.0429999999999997,47.964,25.887
Britain,GBR,GBP,2.89,0.661594443,4.36823499740308,0.673659673659673,42800.2834775086,1.8239999999999998,2.4490000000000003,0.0,39.034,57.752,11.032,-2.9530000000000003,0.0,43.594,22.17
Hong Kong,HKG,HKD,18.8,7.75135,2.42538396537377,4.382284382284376,71104.5109851064,-43.464000000000006,-43.117,-44.477,-22.804,-12.411,-48.855,-55.298,-53.937000000000005,-33.856,-43.725
Hungary,HUN,HUF,860.0,271.39345,3.16883108269562,200.46620046620035,16567.9948304302,-26.134,-25.680999999999997,-27.456999999999997,0.859,14.437,-0.518,-13.049,-10.403,28.657,9.461
Indonesia,IDN,IDR,27939.0,12480.0,2.23870192307692,6512.587412587404,6436.13063449801,-47.815999999999995,-47.496,-48.75,-28.746,-19.153000000000002,-22.698999999999998,-32.436,-30.380000000000003,-0.029,-14.946000000000002
India,IND,INR,116.25,61.615,1.88671589710298,27.097902097902125,3519.67239587097,-56.021,-55.751,-56.808,-39.949,-31.863999999999997,-32.925,-41.374,-39.589,-13.254,-26.197
Israel,ISR,ILS,17.5,3.93415,4.44822896940889,4.079254079254076,33547.0738868571,3.688,4.324999999999999,1.831,41.58,60.641,21.204,5.937,9.161,56.749,33.361000000000004
Japan,JPN,JPY,370.0,117.765,3.14185029507918,86.24708624708617,47320.8624614595,-26.762999999999998,-26.314,-28.075,0.0,13.463,-22.676,-32.416,-30.359,0.0,-14.92
South Korea,KOR,KRW,4100.0,1083.3,3.78473183790271,955.710955710957,32225.9129823293,-11.777999999999999,-11.236,-13.358,20.462,36.679,4.196,-8.929,-6.157,34.753,14.646999999999998
Sri Lanka,LKA,LKR,350.0,131.875,2.65402843601896,81.58508158508167,,-38.135000000000005,-37.755,-39.243,-15.527,-4.154,,,,,
Mexico,MEX,MXN,49.0,14.6275,3.34985472568792,11.421911421911433,13118.4479957143,-21.915000000000003,-21.436,-23.313,6.619999999999999,20.974999999999998,8.52,-5.149,-2.263,40.345,19.405
Malaysia,MYS,MYR,7.63,3.6155,2.11035818005808,1.7785547785547757,20546.0778833552,-50.808,-50.50599999999999,-51.68899999999999,-32.830999999999996,-23.788,-36.028,-44.086,-42.385,-17.268,-29.612
Norway,NOR,NOK,48.0,7.6225,6.29714660544441,11.188811188811192,54801.998411875,46.787,47.687000000000005,44.157999999999994,100.42800000000001,127.411,47.239,28.693,32.609,90.41900000000001,62.007999999999996
New Zealand,NZL,NZD,5.9,1.313283866,4.49255500105261,1.3752913752913765,38756.2264677966,4.7219999999999995,5.364,2.846,42.991,62.241,17.645,2.826,5.955,52.146,29.445
Pakistan,PAK,PKR,300.0,100.735,2.97811088499528,69.93006993006982,2096.9743652,-30.580000000000002,-30.153999999999996,-31.823,-5.212,7.55,7.4270000000000005,-6.105,-3.247,38.932,18.201999999999998
Peru,PER,PEN,10.0,3.008,3.32446808510638,2.331002331002329,8343.424089,-22.506999999999998,-22.031,-23.894000000000002,5.811999999999999,20.058,12.673000000000002,-1.5190000000000001,1.478,45.716,23.974999999999998
Philippines,PHL,PHP,163.0,44.41,3.67034451700068,37.99533799533804,3500.05790226994,-14.444,-13.919,-15.976,16.821,32.549,30.512,14.072000000000001,17.544,68.786,43.602999999999994
Poland,POL,PLN,9.2,3.7066,2.48205902983867,2.144522144522148,20857.9604152174,-42.143,-41.788,-43.179,-21.0,-10.363999999999999,-24.962999999999997,-34.415,-32.419,-2.9579999999999997,-17.437
Russia,RUS,RUB,89.0,65.227,1.36446563539639,20.745920745920824,26075.6898006742,-68.194,-67.999,-68.76400000000001,-56.571000000000005,-50.724999999999994,-60.528000000000006,-65.499,-64.45,-48.952,-56.568
Saudi Arabia,SAU,SAR,11.0,3.7569,2.92794591285368,2.5641025641025617,39604.0086,-31.75,-31.330999999999996,-32.972,-6.808,5.738,-23.810000000000002,-33.407,-31.380000000000003,-1.466,-16.168
Singapore,SGP,SGD,4.7,1.33315,3.5254847541537,1.0955710955710969,66574.8515042553,-17.821,-17.317,-19.293,12.21,27.317000000000004,-23.573,-33.2,-31.167,-1.16,-15.906999999999998
Sweden,SWE,SEK,40.7,8.19145,4.96859530363977,9.487179487179484,43176.3615891892,15.817999999999998,16.529,13.744,58.142,79.43299999999999,25.948999999999998,10.084,13.434,62.885000000000005,38.582
Thailand,THA,THB,99.0,32.605,3.03634411900015,23.07692307692305,8377.02601666667,-29.223,-28.788000000000004,-30.490000000000002,-3.3579999999999997,9.653,2.875,-10.083,-7.3469999999999995,33.044000000000004,13.193
Turkey,TUR,TRY,9.25,2.33345,3.96408750991022,2.156177156177157,12266.1178021622,-7.5969999999999995,-7.03,-9.252,26.169999999999998,43.157000000000004,29.439,13.135,16.577,67.399,42.422
Taiwan,TWN,TWD,79.0,31.493,2.50849395103674,18.41491841491843,37675.3007191139,-41.526999999999994,-41.168,-42.574,-20.159,-9.41,-33.776,-42.118,-40.355999999999995,-14.355,-27.133000000000003
Ukraine,UKR,UAH,19.0,15.822,1.20085956263431,4.42890442890444,,-72.00800000000001,-71.836,-72.509,-61.778999999999996,-56.633,,,,,
Uruguay,URY,UYU,113.0,24.425,4.62640736949846,26.340326340326314,,7.8420000000000005,8.504000000000001,5.91,47.251,67.07499999999999,,,,,
United States,USA,USD,4.29,1.0,4.29,1.0,55263.817,0.0,0.614,-1.791,36.544,54.925999999999995,0.0,-12.595999999999998,-9.936,29.326999999999998,10.030999999999999
Venezuela,VEN,VEF,132.0,52.1021,2.53348713391591,30.769230769230802,,-40.944,-40.582,-42.002,-19.363,-8.507000000000001,,,,,
Vietnam,VNM,VND,60000.0,21380.0,2.80636108512629,13986.013986014004,,-34.583999999999996,-34.182,-35.754999999999995,-10.678,1.347,,,,,
South Africa,ZAF,ZAR,25.5,11.47875,2.22149624305782,5.944055944055932,12743.4921058824,-48.217,-47.899,-49.144,-29.293000000000003,-19.774,-27.783,-36.88,-34.959,-6.6049999999999995,-20.54
