Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18.0,3.673,4.90062619112442,3.1634446397188043,60261.7455688889,-13.873,-19.128,-16.877,53.614,38.901,-8.398,-23.498,-19.674,51.803999999999995,22.176000000000002
Argentina,ARG,ARS,6100.0,931.9742,6.54524556581073,1072.0562390158177,3844.99965298852,15.031,8.012,11.018,105.166,85.515,47.014,22.78,28.916999999999998,143.634,96.082
Australia,AUS,AUD,7.75,1.53139356814701,5.06075000000001,1.3620386643233737,72261.5881458065,-11.059,-16.486,-14.161000000000001,58.633,43.44,-8.665000000000001,-23.721,-19.908,51.361999999999995,21.819
Azerbaijan,AZE,AZN,6.15,1.7,3.61764705882353,1.0808435852372584,11836.3361495935,-36.421,-40.300000000000004,-38.639,13.398,2.537,-21.0,-34.022000000000006,-30.725,30.919999999999998,5.367999999999999
Bahrain,BHR,BHD,1.7,0.377,4.50928381962865,0.2987697715289984,35567.7950470588,-20.751,-25.586,-23.515,41.347,27.809,-9.031,-24.026,-20.229,50.754999999999995,21.331
Brazil,BRA,BRL,23.9,5.65275,4.22803060457299,4.200351493848852,12654.2343129707,-25.694,-30.227999999999998,-28.286,32.531,19.837,-7.933,-23.108999999999998,-19.266,52.576,22.797
Canada,CAN,CAD,7.62,1.38145,5.5159433928119,1.3391915641476273,53976.2427834646,-3.0589999999999997,-8.974,-6.4399999999999995,72.902,56.340999999999994,5.0680000000000005,-12.251,-7.866,74.11999999999999,40.136
Switzerland,CHE,CHF,7.1,0.88025,8.06589037205339,1.2478031634446392,72303.1794140845,41.756,33.106,36.811,152.832,128.61599999999999,45.553,21.560000000000002,27.636,141.21300000000002,94.134
Chile,CHL,CLP,4290.0,944.85,4.5404032386093,753.954305799648,18729.4250041096,-20.204,-25.073,-22.987,42.323,28.691,-3.1690000000000005,-19.13,-15.088,60.47,29.15
China,CHN,CNY,25.5,7.2276,3.52814212186618,4.481546572934974,19780.7296113726,-37.994,-41.777,-40.157,10.593,0.0,-25.024,-37.383,-34.254,24.251,0.0
Colombia,COL,COP,19900.0,4058.99,4.90269746907482,3497.3637961335676,8621.58445550754,-13.837,-19.094,-16.842,53.679,38.96,8.272,-9.576,-5.056,79.43,44.409
Costa Rica,CRI,CRC,2950.0,524.47,5.62472591377963,518.4534270650269,17197.1713958441,-1.147,-7.179,-4.595,76.312,59.425,20.583000000000002,0.7060000000000001,5.74,99.832,60.83
Czech Republic,CZE,CZK,109.0,23.53295,4.63180349254981,19.15641476274166,35458.2192655963,-18.597,-23.564,-21.437,45.188,31.282,-6.526999999999999,-21.935,-18.032999999999998,54.906,24.672
Denmark,DNK,DKK,39.0,6.8959,5.65553444800534,6.854130052724081,68654.2925769231,-0.606,-6.671,-4.073,77.277,60.297999999999995,3.138,-13.863,-9.558,70.922,37.562
Egypt,EGY,EGP,120.0,48.6,2.46913580246914,21.089630931458736,4557.87279125,-56.606,-59.254,-58.119,-22.603,-30.016,-44.681,-53.800000000000004,-51.491,-8.325000000000001,-26.218000000000004
Euro area,EUZ,EUR,5.6,0.92413,6.0597534978845,0.9841827768014063,42098.2713161267,6.497999999999999,0.0,2.783,89.948,71.755,19.737,0.0,4.997999999999999,98.431,59.702
Britain,GBR,GBP,4.59,0.77854,5.89565083361163,0.806678383128295,48950.5121568628,3.614,-2.708,0.0,84.804,67.104,14.038,-4.760000000000001,0.0,88.985,52.1
Guatemala,GTM,GTQ,31.0,7.7458,4.00216891734876,5.448154657293501,7719.10594419355,-29.663,-33.955,-32.117000000000004,25.451,13.436,-11.334,-25.95,-22.249,46.938,18.259
Hong Kong,HKG,HKD,23.0,7.812,2.9441884280594,4.042179261862922,96906.2190526087,-48.257,-51.414,-50.062,-7.712,-16.551,-50.377,-58.556,-56.485,-17.763,-33.814
Honduras,HND,HNL,102.0,24.79555,4.11364135903418,17.926186291739885,4570.51369803922,-27.704,-32.115,-30.226,28.945999999999998,16.595,-7.8420000000000005,-23.033,-19.186,52.72599999999999,22.918
Hungary,HUN,HUF,1420.0,364.17615,3.89921196102491,249.56063268892825,31323.2759461056,-31.473000000000003,-35.654,-33.863,22.224,10.517,-20.252,-33.397,-30.069000000000003,32.16,6.366
Indonesia,IDN,IDR,40000.0,16260.0,2.460024600246,7029.876977152891,10712.3053600718,-56.766000000000005,-59.404,-58.274,-22.888,-30.274,-46.068999999999996,-54.959,-52.708,-10.624,-28.067999999999998
India,IND,INR,230.0,83.72875,2.74696564800024,40.42179261862919,5121.72958169565,-51.723,-54.669000000000004,-53.407000000000004,-13.894,-22.141,-38.58,-48.705,-46.141,1.786,-18.08
Israel,ISR,ILS,17.0,3.76125,4.51977401129944,2.9876977152899853,64098.73764,-20.566000000000003,-25.413000000000004,-23.337,41.676,28.105999999999998,-16.470000000000002,-30.239,-26.753,38.427,11.408999999999999
Jordan,JOR,JOD,2.5,0.709,3.52609308885755,0.43936731107205673,7257.567688,-38.03,-41.811,-40.192,10.528,-0.058,-21.754,-34.652,-31.385999999999996,29.67,4.362
Japan,JPN,JPY,480.0,150.46,3.19021666888209,84.35852372583467,56300.5762693959,-43.933,-47.354,-45.889,0.0,-9.578000000000001,-39.658,-49.605,-47.086,0.0,-19.518
South Korea,KOR,KRW,5500.0,1376.75,3.99491556201198,966.6080843585225,44834.7272542836,-29.791,-34.075,-32.24,25.224000000000004,13.23,-21.736,-34.637,-31.369999999999997,29.7,4.386
Kuwait,KWT,KWD,1.4,0.30555,4.58190148911798,0.24604569420035127,40745.3137214286,-19.474,-24.388,-22.283,43.624,29.866999999999997,-9.077,-24.065,-20.27,50.678,21.27
Lebanon,LBN,LBP,460000.0,89550.0,5.13679508654383,80843.58523725835,,-9.722,-15.231,-12.870999999999999,61.016999999999996,45.595,,,,,
Moldova,MDA,MDL,63.0,17.63,3.57345433919456,11.072056239015831,11182.412401746,-37.198,-41.03,-39.388,12.013,1.284,-21.787,-34.68,-31.415,29.615000000000002,4.3180000000000005
