Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18.0,3.673,4.90062619112442,3.35820895522388,57550.2535955556,-8.57,-6.318,5.0009999999999994,55.505,38.525,-2.842,-10.411,3.2359999999999998,55.955,21.502
Argentina,ARG,ARS,980.0,184.69875,5.30593737098925,182.83582089552252,9751.88664489796,-1.009,1.431,13.686000000000002,68.366,49.982,24.117,14.448,31.880999999999997,99.229,55.215
Australia,AUS,AUD,7.25,1.41854032200865,5.11088750000001,1.3526119402985073,69760.1338482759,-4.648,-2.298,9.506,62.17700000000001,44.468999999999994,-2.472,-10.07,3.6290000000000004,56.54900000000001,21.965
Azerbaijan,AZE,AZN,4.9,1.7025,2.87812041116006,0.9141791044776121,14546.8223183673,-46.304,-44.981,-38.333,-8.672,-18.645,-33.867999999999995,-39.019999999999996,-29.731,6.1530000000000005,-17.298
Bahrain,BHR,BHD,1.7,0.377,4.50928381962865,0.3171641791044778,34121.0978823529,-15.872,-13.799,-3.3840000000000003,43.086999999999996,27.462999999999997,-3.38,-10.907,2.664,55.092,20.829
Brazil,BRA,BRL,22.9,5.1581,4.4396192396425,4.2723880597014885,11618.394749345,-17.171,-15.129999999999999,-4.8759999999999994,40.877,25.494,3.127,-4.907,9.579,65.537,28.967
Canada,CAN,CAD,6.11,1.33595,4.57352445825068,1.1399253731343275,63498.2190114566,-14.673,-12.570999999999998,-2.007,45.126,29.279,-11.015,-17.947,-5.449,42.836,11.280999999999999
Switzerland,CHE,CHF,6.7,0.92315,7.25775876076477,1.2499999999999996,71556.608,35.406,38.742,55.506,130.301,105.154,37.736,27.006000000000004,46.353,121.09,72.247
Chile,CHL,CLP,3800.0,800.425,4.74747790236437,708.955223880597,18768.7335981053,-11.428,-9.245000000000001,1.72,50.646,34.196,7.4079999999999995,-0.959,14.127999999999998,72.409,34.32
China,CHN,CNY,24.0,6.78405,3.53770977513432,4.4776119402985035,19022.62124,-33.998,-32.372,-24.201,12.258,0.0,-20.036,-26.265,-15.033,28.355999999999998,0.0
Colombia,COL,COP,18900.0,4545.55,4.15791268383364,3526.119402985075,8076.6104482709,-22.427,-20.516000000000002,-10.911999999999999,31.938,17.531,-2.121,-9.746,4.002,57.113,22.404
Costa Rica,CRI,CRC,2800.0,564.07,4.96392291736841,522.3880597014924,16403.5818274571,-7.388999999999999,-5.108,6.358,57.513999999999996,40.315,13.28,4.456,20.366999999999997,81.83500000000001,41.664
Czech Republic,CZE,CZK,99.0,21.94565,4.511144577627,18.47014925373134,33936.0724913131,-15.837000000000002,-13.763,-3.344,43.146,27.516000000000002,-3.279,-10.813,2.7720000000000002,55.254999999999995,20.956
Denmark,DNK,DKK,37.0,6.8401,5.40927764213974,6.902985074626872,69841.0339567568,0.919,3.406,15.9,71.646,52.903,3.196,-4.843,9.652,65.648,29.053
Egypt,EGY,EGP,55.0,29.845,1.84285474953929,10.261194029850765,7377.29028218182,-65.618,-64.771,-60.51499999999999,-41.522999999999996,-47.908,-56.503,-59.892,-53.782,-30.18,-45.605000000000004
Euro area,EUZ,EUR,4.81,0.9195,5.23110386079391,0.8973880597014926,43851.6879768231,-2.405,0.0,12.081999999999999,65.99199999999999,47.867,8.448,0.0,15.232999999999999,74.078,35.621
Britain,GBR,GBP,3.79,0.81205,4.6672002955483,0.7070895522388053,52279.1489182058,-12.925,-10.780000000000001,0.0,48.098,31.927,-5.888,-13.219,0.0,51.06699999999999,17.693
Guatemala,GTM,GTQ,27.0,7.8438,3.44220913332823,5.0373134328358145,7840.90220444445,-35.78,-34.197,-26.247,9.227,-2.7,-18.895999999999997,-25.215,-13.822999999999999,30.185000000000002,1.425
Hong Kong,HKG,HKD,21.0,7.8307,2.68175258916827,3.9179104477611886,95949.1119085714,-49.967,-48.734,-42.54,-14.902999999999999,-24.195,-52.634,-56.324,-49.671,-23.97,-40.766000000000005
Honduras,HND,HNL,100.0,24.7,4.04858299595142,18.656716417910456,4043.7307032,-24.467,-22.606,-13.255,28.468,14.441,-3.216,-10.756,2.839,55.355,21.034
Hungary,HUN,HUF,1350.0,359.4686,3.75554359963568,251.86567164179073,27076.3724470519,-29.934,-28.206999999999997,-19.533,19.17,6.157,-17.528,-23.952,-12.368,32.383,3.137
Indonesia,IDN,IDR,35000.0,14887.5,2.35096557514694,6529.850746268668,10913.8684265829,-56.138999999999996,-55.05799999999999,-49.628,-25.4,-33.546,-45.245999999999995,-49.511,-41.82,-12.11,-31.526
India,IND,INR,207.0,81.715,2.53319463990699,38.619402985074565,4924.07490280193,-52.739000000000004,-51.574,-45.723,-19.617,-28.395,-39.647,-44.348,-35.870999999999995,-3.123,-24.525
Israel,ISR,ILS,17.0,3.36365,5.05403356472879,3.171641791044775,58225.2039058824,-5.708,-3.385,8.288,60.373,42.862,-0.016,-7.805,6.239,60.492000000000004,25.036
Jordan,JOR,JOD,2.5,0.71005,3.52087881135131,0.46641791044776065,6562.378784,-34.312,-32.693,-24.561,11.723,-0.47600000000000003,-16.639,-23.133,-11.424,33.809,4.247999999999999
Japan,JPN,JPY,410.0,130.1,3.15142198308993,76.4925373134328,58457.325342439,-41.205000000000005,-39.756,-32.477000000000004,0.0,-10.918999999999999,-37.701,-42.555,-33.804,0.0,-22.092
South Korea,KOR,KRW,4900.0,1235.45,3.96616617426849,914.1791044776131,45763.467645551,-26.003999999999998,-24.181,-15.02,25.852999999999998,12.110999999999999,-18.297,-24.661,-13.184999999999999,31.147999999999996,2.175
Kuwait,KWT,KWD,1.9,0.30535,6.22236777468479,0.35447761194029864,32499.4318736842,16.089000000000002,18.948999999999998,33.321,97.446,75.887,34.075,23.631,42.463,115.214,67.669
