Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,14.75,3.67315,4.01562691422893,3.0601659751037333,,-16.688,-12.362,-8.947,13.302,28.593000000000004,,,,,
Argentina,ARG,ARS,171.0,60.0656,2.84688740310594,35.477178423236545,13522.2114982456,-40.936,-37.869,-35.448,-19.674,-8.833,-16.682,-24.246000000000002,-18.096,6.409,-7.228
Australia,AUS,AUD,6.45,1.449065353,4.45114499953129,1.3381742738589197,58452.3649333333,-7.6530000000000005,-2.857,0.928,25.591,42.54,-3.856,-12.584000000000001,-5.487,22.791,7.054
Azerbaijan,AZE,AZN,3.95,1.6965,2.32832301797819,0.8195020746887964,,-51.695,-49.186,-47.205999999999996,-34.305,-25.44,,,,,
Bahrain,BHR,BHD,1.4,0.377,3.71352785145889,0.29045643153527,,-22.956,-18.955,-15.797,4.779,18.919,,,,,
Brazil,BRA,BRL,19.9,4.1419,4.80455829450252,4.128630705394188,8946.54974874372,-0.32,4.856,8.941,35.562,53.858,45.885,32.64,43.41,86.317,62.438
Canada,CAN,CAD,6.77,1.30655,5.18158509050553,1.4045643153526972,43860.0841033974,7.502000000000001,13.084000000000001,17.49,46.2,65.931,22.329,11.222999999999999,20.254,56.232000000000006,36.209
Switzerland,CHE,CHF,6.5,0.96825,6.7131422669765,1.3485477178423229,62246.8733507692,39.277,46.509,52.217999999999996,89.414,114.97699999999999,41.865,28.985,39.458,81.182,57.962
Chile,CHL,CLP,2640.0,772.74,3.41641431788182,547.717842323651,18683.7016310909,-29.12,-25.439,-22.534000000000002,-3.605,9.405,-3.9309999999999996,-12.653,-5.561,22.694,6.97
China,CHN,CNY,21.5,6.885,3.12273057371097,4.460580912863076,15751.0919255814,-35.213,-31.849,-29.193,-11.891,0.0,-10.190000000000001,-18.343999999999998,-11.713999999999999,14.7,0.0
Colombia,COL,COP,11900.0,3287.625,3.61963423443976,2468.879668049796,8692.50302990756,-24.904,-21.004,-17.926000000000002,2.129,15.912,10.135,0.136,8.267,40.659,22.631999999999998
Costa Rica,CRI,CRC,2350.0,569.965,4.12306018790628,487.55186721991754,,-14.459,-10.017,-6.511,16.334,32.034,,,,,
Czech Republic,CZE,CZK,85.0,22.63095,3.75591833307926,17.634854771784244,30710.1063778824,-22.076,-18.029999999999998,-14.835999999999999,5.975,20.277,-3.2190000000000003,-12.005,-4.861,23.604,7.763000000000001
Denmark,DNK,DKK,30.0,6.71935,4.46471756940776,6.224066390041501,63949.0624066667,-7.3709999999999996,-2.561,1.236,25.974000000000004,42.975,-6.557,-15.040000000000001,-8.142000000000001,19.341,4.046
Egypt,EGY,EGP,42.0,15.88,2.6448362720403,8.713692946058083,6546.45893,-45.128,-42.278,-40.028999999999996,-25.374999999999996,-15.304,-18.081,-25.518,-19.471,4.622,-8.786
Euro area,EUZ,EUR,4.12,0.899159286,4.58205800034411,0.8547717842323646,41277.4621822622,-4.936999999999999,0.0,3.8960000000000004,29.285,46.732,9.985,0.0,8.119,40.467999999999996,22.465
Britain,GBR,GBP,3.39,0.76866905,4.41022049736489,0.7033195020746882,47550.839840708,-8.502,-3.75,0.0,24.436,41.23,1.7260000000000002,-7.51,0.0,29.919,13.269
Guatemala,GTM,GTQ,25.0,7.7063,3.2440989839482,5.186721991701247,,-32.695,-29.2,-26.441,-8.466,3.887,,,,,
Hong Kong,HKG,HKD,20.5,7.77535,2.63653726198821,4.253112033195026,88947.1610546342,-45.300000000000004,-42.46,-40.217999999999996,-25.608999999999998,-15.568999999999999,-51.648,-56.037000000000006,-52.468,-38.247,-46.161
