Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,11.0,3.673,2.99482711679826,3.2069970845481075,,-12.687000000000001,-38.174,-18.427,-14.329,63.57000000000001,,,,,
Argentina,ARG,ARS,7.0,3.7985,1.84283269711728,2.0408163265306087,15235.93113,-46.272999999999996,-61.956,-49.805,-47.282999999999994,0.651,-25.377,-55.586999999999996,-36.312,-30.325000000000003,-9.284
Australia,AUS,AUD,4.35,1.09355,3.97787023912944,1.268221574344023,45616.9940413793,15.973,-17.88,8.35,13.791999999999998,117.262,17.507,-30.064,0.28700000000000003,9.714,42.847
Brazil,BRA,BRL,8.2,1.7233,4.75831253989439,2.390670553935861,7392.75722073171,38.726,-1.7680000000000002,29.607,36.117,159.888,113.079,26.817,81.854,98.949,159.03
Canada,CAN,CAD,4.12,1.0368,3.97376543209877,1.2011661807580187,38954.4034368932,15.853,-17.964,8.238,13.675,117.038,24.788,-25.730999999999998,6.502,16.512999999999998,51.699
Switzerland,CHE,CHF,6.5,1.03115,6.30364156524269,1.8950437317784257,41282.3517938462,83.78,30.134,71.699,80.324,244.29,93.685,15.275,65.303,80.841,135.454
Chile,CHL,CLP,1600.0,503.1,3.18028225004969,466.4723032069968,12208.7499425938,-7.28,-34.345,-13.375,-9.024000000000001,73.699,33.722,-20.413,14.126,24.854000000000003,62.56
China,CHN,CNY,12.5,6.8272,1.83091164752754,3.644314868804671,7148.3878144,-46.621,-62.202,-50.129000000000005,-47.624,0.0,-17.740000000000002,-51.042,-29.793999999999997,-23.195,0.0
Colombia,COL,COP,8200.0,2095.6,3.91296048864287,2390.6705539358595,4811.08290143293,14.08,-19.220000000000002,6.582000000000001,11.935,113.717,81.55,8.052,54.946,69.511,120.702
Costa Rica,CRI,CRC,2050.0,582.57,3.51889043376762,597.6676384839657,,2.5919999999999996,-27.355,-4.152,0.662,92.193,,,,,
Czech Republic,CZE,CZK,67.64,18.21005,3.7144324150675,19.720116618075775,19233.293156712,8.292,-23.318,1.174,6.256,102.87299999999999,43.414,-14.645,22.398,33.904,74.342
Denmark,DNK,DKK,30.94,5.16195,5.99385890990808,9.020408163265309,34639.9351719457,74.748,23.738999999999997,63.261,71.462,227.36999999999998,96.23899999999999,16.794,67.482,83.22500000000001,138.558
Egypt,EGY,EGP,13.0,5.465,2.37877401646844,3.790087463556858,3759.88658230769,-30.647999999999996,-50.892,-35.207,-31.952,29.923,12.015,-33.333,-4.3999999999999995,4.587,36.171
Euro area,EUZ,EUR,3.36,0.693649638,4.84394399698368,0.9795918367346945,28952.3876562964,41.223,0.0,31.94,38.567,164.565,68.021,0.0,43.399,56.87799999999999,104.25500000000001
Britain,GBR,GBP,2.29,0.623752495,3.67132800005874,0.6676384839650144,37259.6226812227,7.0360000000000005,-24.208,0.0,5.023,100.519,17.169999999999998,-30.264000000000003,0.0,9.4,42.437999999999995
Hong Kong,HKG,HKD,14.8,7.75655,1.90806479684911,4.314868804664712,54962.7292824324,-44.371,-60.609,-48.028,-45.417,4.2139999999999995,-47.965,-69.03099999999999,-55.591,-51.416,-36.744
Hungary,HUN,HUF,720.0,186.6508,3.85747074215594,209.91253644314864,12595.1580205694,12.463000000000001,-20.365,5.07,10.348,110.68599999999999,61.406000000000006,-3.9370000000000003,37.753,50.702000000000005,96.21300000000001
Indonesia,IDN,IDR,20900.0,9320.0,2.24248927038627,6093.294460641411,4210.65264098517,-34.621,-53.705000000000005,-38.919,-35.851,22.479,4.926,-37.552,-10.45,-2.032,27.554000000000002
Israel,ISR,ILS,14.9,3.7325,3.9919624916276,4.344023323615165,25703.8295335571,16.384,-17.589,8.733,14.194999999999999,118.03099999999999,43.336000000000006,-14.691,22.332,33.831,74.247
Japan,JPN,JPY,320.0,91.54,3.49573956740223,93.29446064139947,41592.2909712188,1.917,-27.833000000000002,-4.7829999999999995,0.0,90.929,7.102,-36.256,-8.591999999999999,0.0,30.2
South Korea,KOR,KRW,3400.0,1140.5,2.98114861902674,991.253644314868,24661.0548149824,-13.086,-38.456,-18.799,-14.721,62.82299999999999,8.264000000000001,-35.565000000000005,-7.600999999999999,1.084,31.611
Sri Lanka,LKA,LKR,210.0,114.86,1.82831272853909,61.22448979591833,,-46.696,-62.256,-50.2,-47.699000000000005,-0.14200000000000002,,,,,
Mexico,MEX,MXN,32.0,12.81375,2.49731733489416,9.329446064139956,12090.095084375,-27.192,-48.445,-31.978,-28.560999999999996,36.397,5.163,-37.41,-10.247,-1.81,27.842
Malaysia,MYS,MYR,7.05,3.3875,2.08118081180812,2.0553935860058328,12936.3247900709,-39.324,-57.035000000000004,-43.313,-40.465,13.669,-13.292000000000002,-48.394,-25.997999999999998,-19.042,5.407
Norway,NOR,NOK,40.0,5.69555,7.02302674895313,11.661807580174926,43200.35119225,104.75300000000001,44.986,91.294,100.902,283.581,112.02300000000001,26.189,80.953,97.963,157.74699999999999
New Zealand,NZL,NZD,4.9,1.35685,3.61130559752368,1.42857142857143,31200.0745,5.286,-25.446999999999996,-1.635,3.306,97.241,22.387999999999998,-27.159,4.454000000000001,14.272000000000002,48.782
Pakistan,PAK,PKR,200.0,82.6,2.42130750605327,58.30903790087466,1495.06622195,-29.408,-50.014,-34.048,-30.735,32.246,17.805,-29.887000000000004,0.541,9.991999999999999,43.21
Peru,PER,PEN,8.056,2.8705,2.80647970736805,2.348688046647226,5483.21307224429,-18.178,-42.062,-23.557,-19.717000000000002,53.283,28.999999999999996,-23.224,10.096,20.445,56.818999999999996
Philippines,PHL,PHP,101.52,45.92,2.21080139372822,29.59766763848392,3096.1391998621,-35.545,-54.359,-39.782000000000004,-36.757,20.749000000000002,5.095000000000001,-37.451,-10.305,-1.8739999999999999,27.759
