Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,11.0,3.67285,2.99494942619492,3.1161473087818727,,-15.157000000000002,-30.873,-14.026,-18.406,53.761,,,,,
Argentina,ARG,ARS,14.0,3.93375,3.55894502700985,3.966005665722379,7840.06368642857,0.8200000000000001,-17.854999999999997,2.164,-3.041,82.717,36.562,-1.701,30.305,27.57,81.27600000000001
Australia,AUS,AUD,4.35,1.133722578,3.83691750028815,1.2322946175637386,46946.9355586207,8.695,-11.439,10.144,4.532,96.988,8.807,-21.679000000000002,3.8219999999999996,1.643,44.434000000000005
Brazil,BRA,BRL,8.71,1.77495,4.9071804839573,2.4674220963172835,7162.79838231917,39.013999999999996,13.264000000000001,40.867,33.69,151.935,89.454,36.372,80.774,76.979,151.48600000000002
Canada,CAN,CAD,4.17,1.04235,4.00057562239171,1.1813031161473089,39609.4036834532,13.331000000000001,-7.661999999999999,14.841999999999999,8.991,105.39,19.289,-14.133999999999999,13.824,11.434,58.347
Switzerland,CHE,CHF,6.5,1.05085,6.18546890612361,1.841359773371104,42485.9189015385,75.226,42.768,77.562,68.515,217.563,80.789,30.135,72.506,68.88499999999999,139.984
Chile,CHL,CLP,1750.0,523.65,3.34192685954359,495.7507082152977,11487.7167306571,-5.328,-22.864,-4.0649999999999995,-8.953,71.575,24.146,-10.638,18.458,15.970999999999998,64.794
China,CHN,CNY,13.2,6.7769,1.9477932387965,3.7393767705382444,6966.66252121212,-44.822,-55.043,-44.086,-46.935,0.0,-24.666,-45.774,-28.118,-29.627,0.0
Colombia,COL,COP,8200.0,1868.45,4.38866440097407,2322.9461756373944,4951.34770905488,24.325,1.2959999999999998,25.983,19.564,125.315,72.91,24.462999999999997,64.988,61.524,129.525
Costa Rica,CRI,CRC,2000.0,522.115,3.83057372417954,566.5722379603402,,8.515,-11.586,9.962,4.359,96.662,,,,,
Czech Republic,CZE,CZK,67.64,19.7476,3.42522635662055,19.16147308781869,19794.0305665287,-2.968,-20.942,-1.6740000000000002,-6.683999999999999,75.852,18.627,-14.610999999999999,13.192,10.816,57.467999999999996
Denmark,DNK,DKK,28.5,5.81365,4.90225589775786,8.073654390934841,38701.9729691228,38.873999999999995,13.15,40.726,33.556000000000004,151.683,47.111999999999995,5.893000000000001,40.372,37.425000000000004,95.28
Egypt,EGY,EGP,13.0,5.699,2.28110194771012,3.6827195467422027,3869.50426692308,-35.38,-47.349000000000004,-34.518,-37.854,17.112,-9.216000000000001,-34.652,-13.375,-15.193999999999999,20.509
Euro area,EUZ,EUR,3.380031071,0.78015291,4.33252382664316,0.9575158841359764,29619.8977708642,22.733999999999998,0.0,24.371000000000002,18.034,122.432,38.925,0.0,32.56,29.776999999999997,84.41199999999999
Britain,GBR,GBP,2.29,0.657375756,3.48354799990525,0.6487252124645897,38345.9090567686,-1.316,-19.595000000000002,0.0,-5.095000000000001,78.846,4.802,-24.562,0.0,-2.099,39.116
Hong Kong,HKG,HKD,14.8,7.7742,1.90373285997273,4.192634560906515,56565.1412148649,-46.07,-56.059000000000005,-45.351,-48.135,-2.262,-49.27,-63.483999999999995,-51.593999999999994,-52.61,-32.66
Hungary,HUN,HUF,740.0,221.96915,3.33379661092544,209.63172804532599,12612.0296371757,-5.558,-23.052,-4.299,-9.175,71.158,22.637999999999998,-11.723,17.02,14.563,62.793
Indonesia,IDN,IDR,22780.0,9063.0,2.51351649564162,6453.257790368272,3975.78203853775,-28.796,-41.985,-27.846,-31.522,29.043999999999997,-0.066,-28.066000000000003,-4.644,-6.646000000000001,32.655
Israel,ISR,ILS,14.9,3.8619,3.85820451073306,4.220963172804534,26453.2123187919,9.298,-10.947999999999999,10.755,5.112,98.08099999999999,26.744,-8.767999999999999,20.937,18.398,68.243
Japan,JPN,JPY,320.0,87.18,3.67056664372563,90.65155807365453,42804.8942065313,3.982,-15.279000000000002,5.369,0.0,88.447,7.0489999999999995,-22.945,2.144,0.0,42.099
South Korea,KOR,KRW,3400.0,1204.45,2.82286520818631,963.1728045325783,25380.0360049235,-20.032,-34.845,-18.966,-23.095,44.926,-6.492000000000001,-32.690999999999995,-10.776,-12.649,24.125
Sri Lanka,LKA,LKR,210.0,112.775,1.86211483041454,59.49008498583563,,-47.249,-57.02,-46.544999999999995,-49.269,-4.399,,,,,
Mexico,MEX,MXN,32.0,12.782,2.50352057580973,9.065155807365432,12442.575990625,-29.079,-42.216,-28.133000000000003,-31.795,28.531000000000002,-7.768999999999999,-33.611000000000004,-11.995000000000001,-13.841999999999999,22.43
Malaysia,MYS,MYR,7.05,3.2135,2.19386961257196,1.9971671388101966,13313.4771163121,-37.851,-49.363,-37.022,-40.231,12.634,-19.782,-42.258,-23.458000000000002,-25.063999999999997,6.483
Norway,NOR,NOK,45.0,6.24625,7.20432259355613,12.747875354107643,39519.8547997778,104.08800000000001,66.28500000000001,106.81,96.273,269.87100000000004,114.95400000000001,54.727000000000004,105.105,100.8,185.335
