Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,Year
Argentina,ARG,ARS,7.0,3.7985,1.84283269711728,2.0408163265306087,15235.93113,-46.273,-61.956,-49.805,-47.283,0.651,-25.377,-55.587,-36.312,-30.325000000000003,-9.284,2010
Australia,AUS,AUD,4.35,1.09355,3.97787023912944,1.268221574344023,45616.9940413793,15.973,-17.88,8.35,13.791999999999998,117.262,17.507,-30.064,0.287,9.714,42.847,2010
Brazil,BRA,BRL,8.2,1.7233,4.75831253989439,2.390670553935861,7392.75722073171,38.726,-1.7680000000000002,29.607,36.117,159.888,113.079,26.817,81.854,98.949,159.03,2010
Canada,CAN,CAD,4.12,1.0368,3.97376543209877,1.2011661807580187,38954.4034368932,15.853,-17.964,8.238,13.675,117.038,24.788,-25.731,6.502,16.512999999999998,51.699,2010
Switzerland,CHE,CHF,6.5,1.03115,6.30364156524269,1.8950437317784257,41282.3517938462,83.78,30.134,71.699,80.324,244.29,93.685,15.275,65.303,80.841,135.454,2010
Chile,CHL,CLP,1600.0,503.1,3.18028225004969,466.4723032069968,12208.7499425938,-7.28,-34.345,-13.375,-9.024,73.699,33.722,-20.413,14.126,24.854000000000003,62.56,2010
China,CHN,CNY,12.5,6.8272,1.83091164752754,3.644314868804671,7148.3878144,-46.621,-62.202,-50.129000000000005,-47.624,0.0,-17.740000000000002,-51.042,-29.794,-23.195,0.0,2010
Colombia,COL,COP,8200.0,2095.6,3.91296048864287,2390.6705539358595,4811.08290143293,14.08,-19.22,6.582000000000001,11.935,113.717,81.55,8.052,54.946,69.511,120.702,2010
Costa Rica,CRI,CRC,2050.0,582.57,3.51889043376762,597.6676384839657,,2.592,-27.355,-4.152,0.662,92.193,,,,,,2010
Czech Republic,CZE,CZK,67.64,18.21005,3.7144324150675,19.72011661807577,19233.293156712,8.292,-23.318,1.174,6.256,102.873,43.414,-14.645,22.398,33.904,74.342,2010
Denmark,DNK,DKK,30.94,5.16195,5.99385890990808,9.020408163265309,34639.9351719457,74.748,23.739,63.261,71.462,227.37,96.239,16.794,67.482,83.22500000000001,138.558,2010
